Run,Num Peers,Chain Length,Runtime,Interval Start,Interval End,Total Energy (kWh),CPU Energy (kWh),RAM Energy (kWh),Total Emissions (CO2 Kg),Avg CPU Power (W),Peers In Sync,Blockchains Match
1,30,5,21.61,2025-05-09 20:55:42,2025-05-09 20:56:04,0.00011174329326944416,5.587361011111101e-05,5.5869683158333157e-05,4.128612979414134e-05,10.0,True,True
2,30,5,21.68,2025-05-09 20:56:07,2025-05-09 20:56:29,0.00011211048592777787,5.605891753611129e-05,5.605156839166657e-05,4.142179756719387e-05,10.0,True,True
3,30,5,21.66,2025-05-09 20:56:31,2025-05-09 20:56:53,0.00011199990431388882,5.600197536388881e-05,5.599792895000001e-05,4.138094064656545e-05,10.0,True,True
Average,30,5,21.650000000000002,N/A,N/A,0.00011195122783703696,5.597816767037038e-05,5.5973060166666585e-05,4.136295600263356e-05,10.0,N/A,N/A
1,30,10,47.27,2025-05-09 20:56:56,2025-05-09 20:57:43,0.00024034238674722165,0.00012017632440555573,0.0001201660623416659,8.880002265865622e-05,10.0,True,True
2,30,10,46.47,2025-05-09 20:57:46,2025-05-09 20:58:32,0.0002358844040527774,0.00011794782016388833,0.00011793658388888908,8.715291841859182e-05,10.0,True,True
3,30,10,46.98,2025-05-09 20:58:35,2025-05-09 20:59:22,0.0002901164516136626,0.00017073326529699564,0.00011938318631666695,0.00010719019572705476,52.333333333333336,True,True
Average,30,10,46.906666666666666,N/A,N/A,0.00025544774747122056,0.00013628580328881325,0.0001191619441824073,9.438104560143425e-05,24.111111111111114,N/A,N/A
1,30,50,247.06,2025-05-09 20:59:25,2025-05-09 21:03:32,0.0021757765795256396,0.0015562933088867513,0.0006194832706388881,0.0008038907001670767,10.0,True,True
2,30,50,247.27,2025-05-09 21:03:35,2025-05-09 21:07:42,0.0012567062627866024,0.0006366638382560475,0.0006200424245305549,0.00046431903303055435,27.5,True,True
3,30,50,247.31,2025-05-09 21:07:45,2025-05-09 21:11:53,0.0013523524773718114,0.0007321727131607002,0.0006201797642111114,0.0004996577268719952,10.0,True,True
Average,30,50,247.21333333333337,N/A,N/A,0.0015949451065613513,0.000975043286767833,0.0006199018197935182,0.0005892891533565421,15.833333333333334,N/A,N/A
