Run,Num Peers,Chain Length,Runtime,Interval Start,Interval End,Peers In Sync,Blockchains Match
1,10,5,20.19,2025-05-01 15:12:35,2025-05-01 15:12:56,True,True
2,10,5,21.04,2025-05-01 15:12:56,2025-05-01 15:13:17,True,True
3,10,5,20.89,2025-05-01 15:13:17,2025-05-01 15:13:38,True,True
1,10,10,46.67,2025-05-01 15:13:38,2025-05-01 15:14:24,True,True
2,10,10,46.3,2025-05-01 15:14:24,2025-05-01 15:15:11,True,True
3,10,10,47.0,2025-05-01 15:15:11,2025-05-01 15:15:58,True,True
1,10,50,247.02,2025-05-01 15:15:58,2025-05-01 15:20:05,True,True
2,10,50,246.99,2025-05-01 15:20:05,2025-05-01 15:24:12,True,True
3,10,50,246.66,2025-05-01 15:24:12,2025-05-01 15:28:19,True,True
1,30,5,21.59,2025-05-01 15:28:19,2025-05-01 15:28:40,True,True
2,30,5,20.32,2025-05-01 15:28:40,2025-05-01 15:29:01,True,True
3,30,5,21.32,2025-05-01 15:29:01,2025-05-01 15:29:22,True,True
1,30,10,47.09,2025-05-01 15:29:22,2025-05-01 15:30:09,True,True
2,30,10,47.02,2025-05-01 15:30:09,2025-05-01 15:30:56,True,True
3,30,10,46.35,2025-05-01 15:30:56,2025-05-01 15:31:43,True,True
1,30,50,247.02,2025-05-01 15:31:43,2025-05-01 15:35:50,True,True
2,30,50,247.06,2025-05-01 15:35:50,2025-05-01 15:39:57,True,True
3,30,50,246.94,2025-05-01 15:39:57,2025-05-01 15:44:04,True,True
